spl_id,Main ingredient,Ingredients
c9752e78-2bf3-4e62-a947-a3d7fe757a1b,ACAMPROSATE CALCIUM,ACAMPROSATE CALCIUM
5b695702-3a0b-4370-a452-7894329970ba,ACARBOSE,ACARBOSE
b5839254-fc55-69f2-e053-2995a90a70ee,ACER NEGUNDO POLLEN,"ACER NEGUNDO POLLEN, ACER SACCHARUM POLLEN, AGROSTIS GIGANTEA POLLEN, AILANTHUS ALTISSIMA POLLEN, ALNUS INCANA SUBSP. RUGOSA POLLEN, AMARANTHUS PALMERI POLLEN, AMARANTHUS RETROFLEXUS POLLEN, AMARANTHUS SPINOSUS POLLEN, AMARANTHUS TUBERCULATUS POLLEN, AMBROSIA ACANTHICARPA POLLEN, AMBROSIA ARTEMISIIFOLIA POLLEN, AMBROSIA PSILOSTACHYA POLLEN, AMBROSIA TRIFIDA POLLEN, ARTEMISIA ABSINTHIUM POLLEN, ARTEMISIA LUDOVICIANA POLLEN, ARTEMISIA TRIDENTATA POLLEN, ATRIPLEX CANESCENS POLLEN, ATRIPLEX CONFERTIFOLIA POLLEN, AVENA SATIVA POLLEN, BAPTISIA TINCTORIA ROOT, BASSIA SCOPARIA POLLEN, BETULA NIGRA POLLEN, BROMUS INERMIS POLLEN, CARYA ALBA POLLEN, CELTIS OCCIDENTALIS POLLEN, CHENOPODIUM ALBUM POLLEN, CYCLACHAENA XANTHIFOLIA POLLEN, DACTYLIS GLOMERATA POLLEN, ECHINACEA, UNSPECIFIED, FAGUS GRANDIFOLIA POLLEN, FENUGREEK LEAF, FESTUCA PRATENSIS POLLEN, FRAXINUS AMERICANA POLLEN, GOLDENSEAL, JUGLANS NIGRA POLLEN, JUNIPERUS ASHEI POLLEN, JUNIPERUS SCOPULORUM POLLEN, JUNIPERUS VIRGINIANA POLLEN, KOELERIA MACRANTHA POLLEN, LIGUSTRUM VULGARE POLLEN, LIQUIDAMBAR STYRACIFLUA POLLEN, LOLIUM MULTIFLORUM POLLEN, LOLIUM PERENNE POLLEN, MORUS ALBA POLLEN, MORUS RUBRA POLLEN, MYRRH, NASTURTIUM OFFICINALE, PASCOPYRUM SMITHII POLLEN, PHALARIS ARUNDINACEA POLLEN, PHLEUM PRATENSE POLLEN, PHYTOLACCA AMERICANA ROOT, PICEA PUNGENS POLLEN, PINUS STROBUS POLLEN, PLANTAGO LANCEOLATA POLLEN, PLATANUS OCCIDENTALIS POLLEN, POA ANNUA POLLEN, POPULUS ALBA POLLEN, POPULUS DELTOIDES SUBSP. MONILIFERA POLLEN, POPULUS NIGRA POLLEN, POPULUS TREMULOIDES POLLEN, QUERCUS VIRGINIANA POLLEN, RUMEX ACETOSELLA POLLEN, SALIX NIGRA POLLEN, SALSOLA TRAGUS POLLEN, SOLIDAGO CANADENSIS POLLEN, SORGHUM HALEPENSE POLLEN, SORGHUM X DRUMMONDII POLLEN, TRITICUM AESTIVUM POLLEN, ULMUS PUMILA POLLEN, URTICA DIOICA POLLEN, XANTHIUM STRUMARIUM POLLEN, ZEA MAYS POLLEN"
575a43ef-77d5-4348-bd98-a2a1df2db51c,ACER NEGUNDO WOOD,"ACER NEGUNDO WOOD, AMBROSIA CONFERTIFLORA WHOLE, ARTEMISIA VULGARIS POLLEN, BETULA PENDULA WHOLE, CHENOPODIUM ALBUM WHOLE, JUNIPERUS VIRGINIANA POLLEN, MORUS RUBRA WHOLE, PINUS SPP. WHOLE, PLANTAGO LANCEOLATA POLLEN, POPULUS ALBA WHOLE, QUERCUS SPP. WHOLE, RUMEX ACETOSELLA WHOLE"
056793ef-b2a3-1254-e063-6394a90abcf3,ACER RUBRUM WHOLE,ACER RUBRUM WHOLE
161804eb-ab3b-48b9-b13f-6f1b66ecb74e,ACEROLA,"ACEROLA, AMANITA MUSCARIA FRUITING BODY, ASCORBIC ACID, CAPSICUM, CITRUS AURANTIUM FRUIT RIND, LEMON JUICE, PETROSELINUM CRISPUM WHOLE, ROSA CANINA FRUIT, SOLANUM TUBEROSUM WHOLE, SUS SCROFA BONE MARROW"
7fd86ecd-41c2-46fd-b986-514578f15f43,ACETALDEHYDE,"ACETALDEHYDE, AMMONIUM CARBONATE, BENZENE, BERBERIS VULGARIS ROOT BARK, CAMPHOR (NATURAL), CARBON TETRACHLORIDE, CHLOROFORM, CYSTEINE, ETHER, FORMALDEHYDE SOLUTION, KEROSENE, LACHESIS MUTA VENOM, LEAD, NAPHTHALENE, OYSTER SHELL CALCIUM CARBONATE, CRUDE, PARAFFIN, PHENOL, STRYCHNOS NUX-VOMICA SEED, SULFURIC ACID, TARAXACUM OFFICINALE, WOOD CREOSOTE"
0039e564-0762-619b-e063-6394a90a886c,ACETAMINOPHEN,"ACETAMINOPHEN, HYDROCODONE BITARTRATE"
18a32f3a-4f80-9d6a-e063-6294a90aaefe,ACETATE ION,"ACETATE ION, SALICYLIC ACID"
0b76bd6d-3291-e438-e063-6394a90a5b23,ACETAZOLAMIDE,ACETAZOLAMIDE
7cb9ae99-0542-483d-b7b2-8eef7154bcd5,ACETAZOLAMIDE SODIUM,ACETAZOLAMIDE SODIUM
0ea27d3e-101b-7f67-e063-6394a90a8f8a,ACETIC ACID,"ACETIC ACID, AMINO ACIDS, HAIR KERATIN, DICTAMNUS DASYCARPUS ROOT BARK, IMPATIENS BALSAMINA FLOWER, PANAX NOTOGINSENG ROOT, REHMANNIA GLUTINOSA ROOT, SALIX ALBA BARK, SOPHORA FLAVESCENS ROOT"
